ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,National Code,Example 1,Example 2,Year,Season,Sport,Event,Medal
357,Yusup Abdusalomov,MALE,26,25-30,170,84,TJK,4,6,2004,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Not Registered
357,Yusup Abdusalomov,MALE,30,25-30,170,84,TJK,4,6,2008,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
357,Yusup Abdusalomov,MALE,34,Over 30,170,84,TJK,4,6,2012,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Not Registered
358,Fawzi Abdussalam,MALE,NULL,NULL,179,76,LBA,4,6,1980,Summer,Cycling,Cycling Men's Sprint,Not Registered
359,Andrey Khakimovich Abduvaliyev,MALE,26,25-30,190,125,EUN,4,6,1992,Summer,Athletics,Athletics Men's Hammer Throw,Gold
359,Andrey Khakimovich Abduvaliyev,MALE,34,Over 30,190,125,UZB,4,6,2000,Summer,Athletics,Athletics Men's Hammer Throw,Not Registered
360,Dzhamolidin Mirgarifanovich Abduzhaparov,MALE,24,18-25,174,72,URS,4,6,1988,Summer,Cycling,"Cycling Men's Road Race, Individual",Not Registered
360,Dzhamolidin Mirgarifanovich Abduzhaparov,MALE,32,Over 30,174,72,UZB,4,6,1996,Summer,Cycling,"Cycling Men's Road Race, Individual",Not Registered
361,Aybek Abdymomunov,MALE,18,18-25,162,54,KGZ,4,6,2004,Summer,Boxing,Boxing Men's Bantamweight,Not Registered
362,Isao Ko Abe,MALE,24,18-25,177,75,JPN,4,6,1936,Summer,Athletics,Athletics Men's Hammer Throw,Not Registered
364,Kazuo Abe,MALE,25,18-25,166,69,JPN,4,6,1960,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Not Registered
365,Kinya Abe,MALE,23,18-25,168,68,JPN,4,6,1992,Summer,Fencing,"Fencing Men's Foil, Individual",Not Registered
366,Kiyoshi Abe,MALE,25,18-25,167,62,JPN,4,6,1972,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Not Registered
368,Naoki Abe,MALE,23,18-25,173,68,JPN,4,6,1968,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Not Registered
368,Naoki Abe,MALE,23,18-25,173,68,JPN,4,6,1968,Summer,Athletics,Athletics Men's Long Jump,Not Registered
369,Osamu Abe,MALE,22,18-25,NULL,NULL,JPN,4,6,1936,Summer,Rowing,Rowing Men's Coxed Pairs,Not Registered
370,Shigeaki Abe,MALE,24,18-25,178,70,JPN,4,6,1972,Summer,Basketball,Basketball Men's Basketball,Not Registered
370,Shigeaki Abe,MALE,28,25-30,178,70,JPN,4,6,1976,Summer,Basketball,Basketball Men's Basketball,Not Registered
371,Shinnosuke Abe,MALE,21,18-25,179,91,JPN,4,6,2000,Summer,Baseball,Baseball Men's Baseball,Not Registered
371,Shinnosuke Abe,MALE,29,25-30,179,91,JPN,4,6,2008,Summer,Baseball,Baseball Men's Baseball,Not Registered
372,"Sanshiro ""Sonny"" Abe",MALE,26,25-30,166,57,JPN,4,6,1996,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Not Registered
373,Tadashi Abe,MALE,21,18-25,190,80,JPN,4,6,1984,Summer,Rowing,Rowing Men's Coxed Fours,Not Registered
373,Tadashi Abe,MALE,25,18-25,190,80,JPN,4,6,1988,Summer,Rowing,Rowing Men's Coxed Eights,Not Registered
373,Tadashi Abe,MALE,29,25-30,190,80,JPN,4,6,1992,Summer,Rowing,Rowing Men's Coxed Eights,Not Registered
374,Tadatoshi Abe,MALE,28,25-30,170,60,JPN,4,6,1960,Summer,Hockey,Hockey Men's Hockey,Not Registered
